Address,Category,Name,Phone,Price,Rating,Reviews
"700 Polk St,San Francisco,CA,94109",,Son & Garden,(415) 913-7404,,4.5,37
"974 Valencia St,San Francisco,CA,94110","Mexican,Tapas/Small Plates",Loló,(415) 643-5656,$11-30,4.0,2192
"560 Divisadero St,San Francisco,CA,94117","American (New),Desserts,Cocktail Bars",Nopa,(415) 864-8643,$31-60,4.0,5059
"800 N Point St,San Francisco,CA,94109","American (New),French,Wine Bars",Gary Danko,(415) 749-2060,Above $61,4.5,5516
"Pier 39,Ste 103,San Francisco,CA,94133","Seafood,Bars,Sandwiches",Pier Market Seafood Restaurant,(415) 989-7437,$11-30,4.0,2107
"1906 Van Ness Ave,San Francisco,CA,94109","American (Traditional),Steakhouses,Wine Bars",House Of Prime Rib,(415) 885-4605,$31-60,4.0,7172
"Pier 39,Ste A-202,San Francisco,CA,94133","Seafood,Bars",Fog Harbor Fish House,(415) 421-2442,$11-30,4.0,6041
"353 Columbus Ave,San Francisco,CA,94133",Italian,Mona Lisa Restaurant,(415) 989-4917,$11-30,4.0,1692
"75 Yerba Buena Ln,San Francisco,CA,94103","Cocktail Bars,Tacos",Tropisueno,(415) 243-0299,$11-30,4.0,4452
"1031 Irving St,San Francisco,CA,94122","Chinese,Chicken Wings,Noodles",San Tung,(415) 242-0828,$11-30,4.0,6840
"335 Noe St,San Francisco,CA,94114","Dim Sum,Asian Fusion",Dumpling House,(415) 829-2789,$11-30,4.0,153
"2175 Chestnut St,San Francisco,CA,94123","Italian,Cocktail Bars,Pizza",Delarosa,(415) 673-7100,$11-30,4.0,1523
"2000 Union St,San Francisco,CA,94123","Vegetarian,Vegan,Cocktail Bars",Wildseed,(415) 872-7350,$11-30,4.5,285
"200 Jackson St,San Francisco,CA,94111","Greek,Mediterranean",Kokkari Estiatorio,(415) 981-0983,$31-60,4.5,4515
"518 Haight St,San Francisco,CA,94117","Japanese,Sushi Bars",Nara Restaurant & Sake Bar,(415) 638-6124,$11-30,4.5,1054
"108B Carl St,San Francisco,CA,94117","Italian,Wine Bars",InoVino,(415) 681-3770,$11-30,4.5,154
"1320 Castro St,San Francisco,CA,94114",Malaysian,Mahila,(628) 867-3570,$11-30,4.0,132
"641 Vallejo St,San Francisco,CA,94133","Italian,Pizza,Whiskey Bars",Capo's by Tony Gemignani,(415) 986-8998,$11-30,4.5,811
"3848 Geary Blvd,San Francisco,CA,94118","Italian,Vermouth Bars,Gastropubs",Osteria Bella,(415) 221-0305,$11-30,4.5,117
"2652 Judah St,San Francisco,CA,94122","Hot Pot,Buffets,Sports Bars",The Pot's,(415) 682-7889,$11-30,4.0,697
"558 Sacramento St,San Francisco,CA,94111",American (Traditional),Wayfare Tavern,(415) 772-9060,$31-60,4.0,3899
