Address,Category,City,Delivery,Fri,Health_Score,Highlights,Mon,Name,Phone,Price,Rating,Reviews,Sat,Smoking,Sun,Take_out,Thu,Tue,Wed,Wi_Fi
"102 F St,Davis,CA,95616","American (New),Bars",Davis,No,"11:30 am - 2:00 pm,5:00 pm - 9:00 pm",,"Happy hour specials,Catering service,Vegan friendly,Gluten-free friendly,Locally sourced ingredients,Takes reservations",Closed,Seasons Restaurant,(530) 746-5500,$11-30,3.5,279,"11:30 am - 2:00 pm,5:00 pm - 9:00 pm",,"11:00 am - 2:00 pm,5:00 pm - 8:00 pm",Yes,"11:30 am - 2:00 pm,5:00 pm - 9:00 pm","11:30 am - 2:00 pm,5:00 pm - 9:00 pm","11:30 am - 2:00 pm,5:00 pm - 9:00 pm",No
"236 B St,Davis,CA,95616",,Davis,No,11:00 am - 10:00 pm,,,Closed,Village Pizza & Pints,(530) 231-3499,,4.0,59,11:00 am - 10:00 pm,,11:00 am - 10:00 pm,Yes,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,Free
"640 W Covell Blvd,Ste E,Davis,CA,95616",Mexican,Davis,No,8:00 am - 10:00 pm,,,8:00 am - 9:30 pm,Taqueria Guadalajara,(530) 297-4000,Under $10,4.0,730,8:00 am - 10:00 pm,,8:00 am - 10:00 pm,Yes,8:00 am - 9:30 pm,8:00 am - 9:30 pm,8:00 am - 9:30 pm,No
"620 W Covell Blvd,Ste B,Davis,CA,95616",Sushi Bars,Davis,No,"11:00 am - 2:30 pm,5:00 pm - 9:30 pm",,,"11:00 am - 2:30 pm,5:00 pm - 9:00 pm",I Love Sushi,(530) 758-4560,$11-30,4.0,185,11:00 am - 9:30 pm,,12:00 pm - 9:00 pm,Yes,"11:00 am - 2:30 pm,5:00 pm - 9:00 pm","11:00 am - 2:30 pm,5:00 pm - 9:00 pm","11:00 am - 2:30 pm,5:00 pm - 9:00 pm",No
"206 3rd St,Davis,CA,95616",,Davis,No,9:15 am - 10:00 pm,,,9:15 am - 10:00 pm,Cajun Feast,(530) 231-5366,,4.0,57,9:15 am - 10:00 pm,,9:15 am - 10:00 pm,Yes,9:15 am - 10:00 pm,9:15 am - 10:00 pm,9:15 am - 10:00 pm,Free
"222 D St,Ste 11,Davis,CA,95616","American (New),Desserts,Wine Bars",Davis,No,"11:30 am - 1:30 pm,5:30 pm - 8:00 pm",,,Closed,The Mustard Seed,(530) 758-5750,$31-60,3.5,283,"10:00 am - 1:00 pm,5:30 pm - 8:30 pm",,10:00 am - 1:00 pm,Yes,"11:30 am - 1:30 pm,5:30 pm - 8:00 pm","11:30 am - 1:30 pm,5:30 pm - 8:00 pm","11:30 am - 1:30 pm,5:30 pm - 8:00 pm",No
"219 G St,Davis,CA,95616","Pizza,Gluten-Free,Vegetarian",Davis,Yes,11:00 am - 2:00 am,,,11:00 am - 1:00 am,Woodstock's Pizza Davis,(530) 757-2525,$11-30,4.0,767,11:00 am - 2:00 am,,11:00 am - 12:00 am,Yes,11:00 am - 2:00 am,11:00 am - 1:00 am,11:00 am - 1:00 am,Free
"417 Mace Blvd,Davis,CA,95618","Japanese,Sushi Bars",Davis,Yes,11:30 am - 10:00 pm,,,11:30 am - 9:30 pm,Huku Japanese Bistro,(530) 750-0858,$11-30,4.0,314,12:00 pm - 9:30 pm,,12:00 pm - 9:00 pm,Yes,11:30 am - 9:30 pm,11:30 am - 9:30 pm,11:30 am - 9:30 pm,No
"234 E St,Davis,CA,95616","Indian,Himalayan/Nepalese,Seafood",Davis,Yes,11:00 am - 10:00 pm,,,Closed,Yeti Restaurant,(530) 747-0123,$11-30,4.0,309,11:00 am - 10:00 pm,,11:00 am - 10:00 pm,Yes,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,Free
"1753 Research Park Dr,Davis,CA,95618","Dim Sum,Cantonese,Seafood",Davis,No,11:00 am - 9:30 pm,,,11:00 am - 9:30 pm,Well Season,(530) 750-1802,$11-30,3.5,67,10:30 am - 9:30 pm,,10:30 am - 9:30 pm,Yes,11:00 am - 9:30 pm,11:00 am - 9:30 pm,11:00 am - 9:30 pm,No
