	Name	Address	Category	Price	Rating	Reviews	Mon	Tue	Wed	Thu	Fri	Sat	Sun	Delivery	Wi_Fi	Takes_Reservations	Parking	Vegetarian_Options	Accepts_Credit_Cards	Accepts_Apple_Pay	Accepts_Google_Pay	Take_out
0	Pho Ha Plus	2191 S Harbor Blvd,Anaheim,CA,92802	Vietnamese	$11-30	4.0	340	11:00 am - 2:00 am	11:00 am - 2:00 am	11:00 am - 2:00 am	11:00 am - 2:00 am	11:00 am - 2:00 am	11:00 am - 2:00 am	11:00 am - 2:00 am	No	Free	No	Private Lot	Yes	Yes	Yes	NULL	Yes
1	The Blind Rabbit	440 S Anaheim Blvd,Ste 104,Anaheim,CA,92805	Gastropubs,Speakeasies	$11-30	4.5	2031	5:00 pm - 11:00 pm	5:00 pm - 12:00 am	5:00 pm - 12:00 am	5:00 pm - 12:00 am	5:00 pm - 12:00 am	12:00 pm - 4:00 pm,5:00 pm - 12:00 am	12:00 pm - 4:00 pm,5:00 pm - 11:00 pm	No	No	Yes	Valet, Garage, Street	NULL	Yes	No	No	No
2	PokiNometry	184 S Harbor Blvd,Anaheim,CA,92805	Japanese,Seafood,Poke	Under $10	4.0	2882	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	No	Free	No	Street	NULL	Yes	Yes	No	Yes
3	Thuyen Vien	1740 S Euclid St,Anaheim,CA,92802	Vietnamese	Under $10	4.5	1230	5:00 pm - 9:00 pm	5:00 pm - 9:00 pm	5:00 pm - 9:00 pm	5:00 pm - 9:00 pm	5:00 pm - 9:00 pm	4:00 pm - 9:00 pm	4:00 pm - 9:00 pm	No	No	No	Private Lot	Yes	Yes	No	No	Yes
4	Ramen Hajime	2717 W Lincoln Ave,Anaheim,CA,92801	Ramen,Noodles	$11-30	4.5	533	11:30 am - 3:00 pm,5:00 pm - 9:30 pm	11:30 am - 3:00 pm,5:00 pm - 9:30 pm	11:30 am - 3:00 pm,5:00 pm - 9:30 pm	11:30 am - 3:00 pm,5:00 pm - 9:30 pm	11:30 am - 3:00 pm,5:00 pm - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 9:00 pm	No	No	Yes	Private Lot	Yes	Yes	No	No	Yes
5	Taqueria Los Gueros	628 W La Palma Ave,Anaheim,CA,92801	Mexican	Under $10	4.5	686	10:00 am - 10:00 pm	10:00 am - 10:00 pm	10:00 am - 10:00 pm	10:00 am - 10:00 pm	10:00 am - 10:00 pm	10:00 am - 10:00 pm	10:00 am - 10:00 pm	No	No	No	Private Lot	NULL	No	No	No	Yes
6	Mr BBQ	305 N State College Blvd,Fullerton,CA,92831	Korean,Barbeque	$11-30	4.5	3459	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 10:00 pm	No	Free	No	Private Lot	NULL	Yes	No	No	No
7	Benchmark	601 E Santa Ana Blvd,Santa Ana,CA,92701	American (New)	$11-30	4.5	403	Closed	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 10:00 pm	No	Free	Yes	Street, Private Lot	Yes	Yes	NULL	NULL	Yes
8	Zankou Chicken	2424 W Ball Rd,Anaheim,CA,92804	Mediterranean,Lebanese,Armenian	$11-30	4.0	1834	10:00 am - 10:00 pm	10:00 am - 10:00 pm	10:00 am - 10:00 pm	10:00 am - 10:00 pm	10:00 am - 10:00 pm	10:00 am - 10:00 pm	10:00 am - 10:00 pm	No	No	No	Street, Private Lot	Yes	Yes	No	No	Yes
9	Phantom Ales	1211 N Las Brisas St,Anaheim,CA,92806	Breweries,American (Traditional),Sports Bars	Under $10	4.5	512	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 12:00 am	11:00 am - 12:00 am	11:00 am - 12:00 am	11:00 am - 9:00 pm	Yes	Free	Yes	Street, Private Lot	NULL	Yes	No	Yes	Yes
