	Name	Address	Category	Price	Rating	Reviews	Mon	Tue	Wed	Thu	Fri	Sat	Sun	Delivery	Wi_Fi	Takes_Reservations	Parking	Vegetarian_Options	Accepts_Credit_Cards	Accepts_Apple_Pay	Accepts_Google_Pay	Take_out
0	Kalbi King Korean BBQ & Sushi	7800 McNair Ln,Ste A,Bakersfield,CA,93313	Korean,Sushi Bars,Barbeque	$11-30	4.0	214	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	No	Free	Yes	Street, Private Lot	NULL	Yes	NULL	NULL	Yes
1	Claw Daddy's Cajun Seafood	2800 Taft Hwy,Bakersfield,CA,93313	Seafood,Cajun/Creole	$11-30	4.5	184	Closed	Closed	2:00 pm - 9:00 pm	2:00 pm - 9:00 pm	12:00 pm - 9:00 pm	12:00 pm - 9:00 pm	12:00 pm - 9:00 pm	No	No	Yes	Private Lot	NULL	Yes	Yes	NULL	Yes
2	Bootleggers Craft Pub & Eatery	955 Oak St,Bakersfield,CA,93304	American (New),Pubs	$11-30	4.0	434	11:00 am - 10:30 pm	11:00 am - 10:30 pm	11:00 am - 10:30 pm	11:00 am - 10:30 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 10:30 pm	No	Free	No	Private Lot	Yes	Yes	No	Yes	Yes
3	Crab In A Bag	1641 Union Ave,Bakersfield,CA,93305	Seafood,Cajun/Creole,Fish & Chips	$11-30	4.0	324	Closed	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	Yes	No	No	Private Lot	NULL	Yes	Yes	Yes	Yes
4	Hungry Hunter Steakhouse	3580 Rosedale Hwy,Bakersfield,CA,93308	Steakhouses,Seafood,American (Traditional)	$11-30	4.0	694	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	12:00 pm - 10:00 pm	12:00 pm - 9:00 pm	No	Free	Yes	Private Lot	Yes	Yes	No	No	Yes
5	PorkChop & Bubba's BBQ	1230 H St,Ste A,Bakersfield,CA,93301	Barbeque	$11-30	5.0	585	10:30 am - 8:00 pm	10:30 am - 8:00 pm	10:30 am - 8:00 pm	10:30 am - 8:00 pm	10:30 am - 8:00 pm	10:30 am - 8:00 pm	10:30 am - 4:00 pm	Yes	Free	No	Street, Private Lot	Yes	Yes	NULL	Yes	Yes
6	Mama Roomba	1814 Eye St,Bakersfield,CA,93301	Caribbean,Tapas Bars,Seafood	$11-30	4.0	454	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	5:00 pm - 10:00 pm	Closed	No	No	Yes	Street	NULL	Yes	No	NULL	Yes
7	Luigis	725 E 19th St,Bakersfield,CA,93305	Italian	$11-30	4.0	337	Closed	11:00 am - 2:30 pm	11:00 am - 2:30 pm	11:00 am - 2:30 pm	11:00 am - 2:30 pm	11:00 am - 2:30 pm	Closed	No	No	Yes	Street, Private Lot	NULL	Yes	No	No	Yes
8	Angry Barnyard BBQ	916 18th St,Bakersfield,CA,93301	Barbeque	$11-30	4.5	123	11:00 am - 6:30 pm	11:00 am - 6:30 pm	11:00 am - 6:30 pm	11:00 am - 6:30 pm	11:00 am - 6:30 pm	11:00 am - 3:00 pm	Closed	No	No	No	Street	Yes	Yes	Yes	No	Yes
9	Frugatti's Italian Eatery	600 Coffee Rd,Ste L,Bakersfield,CA,93309	Italian,Pizza	$11-30	4.0	648	11:00 am - 9:30 pm	11:00 am - 9:30 pm	11:00 am - 9:30 pm	11:00 am - 9:30 pm	11:00 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 9:00 pm	No	No	No	Private Lot	NULL	Yes	No	No	Yes
10	Horse in the Alley	1421 17th Pl,Bakersfield,CA,93301	Steakhouses	$31-60	4.5	70	Closed	5:30 pm - 8:30 pm	5:30 pm - 8:30 pm	5:30 pm - 8:30 pm	5:00 pm - 9:30 pm	5:00 pm - 9:30 pm	Closed	No	NULL	Yes	Garage, Street	Yes	Yes	No	No	Yes
11	J's Place	2681 Calloway Dr,Ste 300,Bakersfield,CA,93312	Soul Food,Southern,Barbeque	$11-30	4.0	712	Closed	11:00 am - 8:00 pm	11:00 am - 8:00 pm	11:00 am - 8:00 pm	11:00 am - 9:00 pm	7:00 am - 9:00 pm	7:00 am - 8:00 pm	No	Free	Yes	Private Lot	NULL	Yes	No	Yes	Yes
12	Pita Paradise	2020 H St,Bakersfield,CA,93301	Mediterranean,Halal,Food Trucks	Under $10	5.0	493	10:00 am - 6:00 pm	Closed	10:00 am - 6:00 pm	10:00 am - 6:00 pm	10:00 am - 6:00 pm	10:00 am - 6:00 pm	Closed	No	No	No	Private Lot	NULL	Yes	NULL	NULL	Yes
13	Lengthwise Brewing Company	7700 District Blvd,Bakersfield,CA,93313	Breweries,American (Traditional)	$11-30	4.5	407	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 8:00 pm	No	Free	No	Private Lot	NULL	Yes	No	No	Yes
14	Panchitos Restaurant	2104 O St,Bakersfield,CA,93301	Mexican	$11-30	5.0	113	Closed	8:00 am - 8:00 pm	8:00 am - 8:00 pm	8:00 am - 8:00 pm	8:00 am - 8:00 pm	8:00 am - 8:00 pm	8:00 am - 8:00 pm	Yes	Free	Yes	Private Lot	Yes	Yes	No	No	Yes
15	Better Bowls	1818 G St,Bakersfield,CA,93301	Vegan,Gluten-Free	Under $10	5.0	108	11:00 am - 6:00 pm	11:00 am - 6:00 pm	11:00 am - 6:00 pm	11:00 am - 6:00 pm	11:00 am - 6:00 pm	11:00 am - 3:00 pm	Closed	Yes	Free	No	Street	NULL	Yes	NULL	NULL	Yes
16	La Costa Mariscos	3401 Chester Ave,Ste B,Bakersfield,CA,93301	Seafood,Mexican	$11-30	4.0	628	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 9:00 pm	No	No	Yes	Private Lot	NULL	Yes	No	NULL	Yes
17	Vida Vegan Eatery	4530 Stine Rd,Bakersfield,CA,93313	Vegan,Bakeries,Juice Bars & Smoothies	$11-30	4.5	208	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 10:00 pm	10:00 am - 10:00 pm	10:00 am - 9:00 pm	No	Free	No	Private Lot	NULL	Yes	Yes	Yes	Yes
18	Woodstone Pizzeria	5440 California Ave,Bakersfield,CA,93309	Pizza	Under $10	4.0	63								Yes	NULL	No	NULL	NULL	Yes	NULL	NULL	Yes
19	Salty's BBQ & Catering	9425 Rosedale Hwy,Bakersfield,CA,93312	Barbeque	$11-30	4.0	455	11:00 am - 8:00 pm	11:00 am - 8:00 pm	11:00 am - 8:00 pm	11:00 am - 8:00 pm	11:00 am - 8:00 pm	11:00 am - 8:00 pm	11:00 am - 8:00 pm	No	No	No	Street, Private Lot	NULL	Yes	Yes	Yes	Yes
20	Temblor Brewing Company	3200 Buck Owens Blvd,Ste 200,Bakersfield,CA,93308	Breweries,American (New),Venues & Event Spaces	$11-30	4.0	580	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 12:00 am	11:00 am - 12:00 am	11:00 am - 10:00 pm	No	Free	No	Private Lot	Yes	Yes	No	No	Yes
21	Jin Sushi	1600 19th St,Bakersfield,CA,93301	Japanese,Sushi Bars	$11-30	4.5	498	11:00 am - 9:30 pm	11:00 am - 9:30 pm	11:00 am - 9:30 pm	11:00 am - 9:30 pm	11:00 am - 10:30 pm	12:00 pm - 10:00 pm	12:00 pm - 9:00 pm	No	No	Yes	Street	NULL	Yes	No	No	Yes
22	The Tower Craft Bar & Grill	1200 Truxtun Ave,Bakersfield,CA,93301	American (Traditional),Bars	$11-30	4.0	102	10:30 am - 3:00 pm	10:30 am - 3:00 pm	10:30 am - 3:00 pm	10:30 am - 3:30 pm	10:30 am - 3:00 pm	9:00 am - 3:00 pm	9:00 am - 3:00 pm	No	Free	Yes	Street, Private Lot	NULL	Yes	No	No	Yes
