	Name	Address	Category	Price	Rating	Reviews	Mon	Tue	Wed	Thu	Fri	Sat	Sun	Delivery	Wi_Fi	Takes_Reservations	Parking	Vegetarian_Options	Accepts_Credit_Cards	Accepts_Apple_Pay	Accepts_Google_Pay	Take_out
0	Angry Chickz	5044 N West Ave,Fresno,CA,93711	Chicken Shop,American (Traditional),Southern	$11-30	4.5	137	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	No	No	No	Street	NULL	Yes	Yes	NULL	Yes
1	SabaiDee Thai Lao Cuisine	5730 N First St,Ste 103,Fresno,CA,93710	Laotian,Thai,Seafood	$11-30	4.0	643	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	12:00 pm - 9:00 pm	Closed	No	No	Yes	Private Lot	Yes	Yes	No	No	Yes
2	Noodle Q Home Style Fresh Noodles	2648 E Ashlan Ave,Fresno,CA,93726	Chinese,Soup,Noodles	Under $10	4.0	560	11:00 am - 9:00 pm	11:00 am - 9:00 pm	Closed	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	No	Free	Yes	Private Lot	Yes	Yes	No	No	Yes
3	Yosemite Ranch	1520 E Champlain Dr,Fresno,CA,93720	Steakhouses	$11-30	4.0	704	4:00 pm - 9:00 pm	4:00 pm - 9:00 pm	4:00 pm - 9:00 pm	4:00 pm - 9:00 pm	4:00 pm - 10:00 pm	4:00 pm - 10:00 pm	4:00 pm - 9:00 pm	No	Free	Yes	Private Lot	NULL	Yes	No	No	Yes
4	Mediterranean Grill & Cafe	1031 U St,Fresno,CA,93721	Mediterranean,Cafes	$11-30	4.5	402	10:30 am - 2:30 pm	10:30 am - 2:30 pm	10:30 am - 2:30 pm	10:30 am - 2:30 pm	10:30 am - 2:30 pm	Closed	Closed	No	No	No	Street, Private Lot	NULL	Yes	No	Yes	Yes
5	FOB Fried Or Boiled Seafood Fusion	4280 N Blackstone Ave,Fresno,CA,93726	Seafood,Asian Fusion	$11-30	3.5	333	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	No	Free	Yes	Private Lot	NULL	Yes	Yes	No	Yes
6	Elbow Room	731 W San Jose Ave,Fresno,CA,93704	American (New)	$11-30	3.5	613	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 10:00 pm	11:00 am - 11:00 pm	9:00 am - 12:30 am	9:00 am - 12:30 am	9:00 am - 8:30 pm	No	Free	Yes	Street, Private Lot	Yes	Yes	No	No	Yes
7	Dog House Grill	2789 E Shaw Ave,Fresno,CA,93710	Sports Bars,American (Traditional),Barbeque	$11-30	4.0	2072	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 10:00 pm	No	No	No	Garage, Street, Private Lot	NULL	Yes	No	No	Yes
8	The Chicken Shack	1108 Fulton St,Fresno,CA,93721	Chicken Wings	$11-30	3.5	249	10:00 am - 9:00 pm	10:00 am - 9:00 pm	10:00 am - 9:00 pm	10:00 am - 9:00 pm	10:00 am - 9:00 pm	10:00 am - 9:00 pm	10:00 am - 8:00 pm	Yes	Free	No	Street	NULL	Yes	Yes	NULL	Yes
9	The Crawfish Guy	5730 N First St,Ste 102,Fresno,CA,93710	Cajun/Creole,Seafood	$11-30	4.0	282	12:00 pm - 9:00 pm	12:00 pm - 9:00 pm	12:00 pm - 9:00 pm	12:00 pm - 9:00 pm	12:00 pm - 10:00 pm	12:00 pm - 10:00 pm	12:00 pm - 9:00 pm	No	No	No	NULL	NULL	Yes	Yes	Yes	Yes
