	Name	Address	Category	Price	Rating	Reviews	Mon	Tue	Wed	Thu	Fri	Sat	Sun	Delivery	Wi_Fi	Takes_Reservations	Parking	Vegetarian_Options	Accepts_Credit_Cards	Accepts_Apple_Pay	Accepts_Google_Pay	Take_out
0	FB Nashville Hot Chicken	3630 Atlantic Ave,Liberation Brewing,Long Beach,CA,90807	Chicken Shop	$11-30	4.5	51	Closed	Closed	4:00 pm - 10:00 pm	4:00 pm - 10:00 pm	4:00 pm - 11:00 pm	2:00 pm - 11:00 pm	3:00 pm - 9:00 pm	Yes	Free	No	Street, Private Lot	NULL	Yes	NULL	NULL	Yes
1	Gus's World Famous Fried Chicken	2580 Long Beach Blvd,Long Beach,CA,90806	Southern,Chicken Shop,Comfort Food	$11-30	4.0	657	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	Yes	No	No	Street, Private Lot	NULL	Yes	Yes	No	Yes
2	Nick's on 2nd	4901 E 2nd St,Long Beach,CA,90803	American (New),Breakfast & Brunch,Steakhouses	$11-30	4.5	2185	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	8:00 am - 11:00 pm	8:00 am - 10:00 pm	No	No	Yes	Garage, Street, Private Lot	NULL	Yes	No	No	Yes
3	Portuguese Bend Distillery	300 The Promenade N,Long Beach,CA,90802	Distilleries,American (New),Cocktail Bars	$11-30	4.0	299	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 12:00 am	11:00 am - 12:00 am	11:00 am - 10:00 pm	No	No	Yes	Garage, Street	NULL	Yes	No	NULL	Yes
4	Plancha Latin Kitchen	3860 Worsham Ave,Ste 300,Long Beach,CA,90846	Latin American,Mexican,Cuban	$11-30	4.5	143	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:30 pm	11:00 am - 9:30 pm	11:00 am - 9:00 pm	Yes	No	No	Valet, Private Lot	Yes	Yes	No	NULL	Yes
5	Cafe Sevilla	140 Pine Ave,Long Beach,CA,90802	Spanish,Tapas/Small Plates,Music Venues	$11-30	4.0	2024	4:00 pm - 11:00 pm	4:00 pm - 11:00 pm	4:00 pm - 11:00 pm	4:00 pm - 11:00 pm	4:00 pm - 1:30 am	11:30 am - 1:30 am	11:00 am - 11:00 pm	Yes	Free	Yes	Valet, Garage, Street	NULL	Yes	No	No	Yes
6	Italian Homemade Company	6400 Pacific Coast Hwy,D-130,Long Beach,CA,90803			5.0	1								NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
7	The Attic	3441 E Broadway,Long Beach,CA,90803	Breakfast & Brunch,Cajun/Creole,Southern	$11-30	4.0	5715	9:00 am - 10:00 pm	9:00 am - 10:00 pm	9:00 am - 10:00 pm	9:00 am - 10:00 pm	9:00 am - 11:00 pm	8:00 am - 11:00 pm	8:00 am - 10:00 pm	No	Free	Yes	Street, Private Lot	Yes	Yes	No	No	Yes
8	HiroNori Craft Ramen	610 E Carson St,Long Beach,CA,90807	Ramen,Noodles	$11-30	4.5	1269	11:00 am - 9:15 pm	11:00 am - 9:15 pm	11:00 am - 9:15 pm	11:00 am - 9:15 pm	11:00 am - 10:15 pm	11:00 am - 10:15 pm	11:00 am - 9:15 pm	No	Free	No	Street, Private Lot	Yes	Yes	No	NULL	Yes
9	Big Catch Seafood House	150 E Broadway St,Long Beach,CA,90802	Cajun/Creole,Seafood,Live/Raw Food	$11-30	4.0	1191	11:00 am - 10:30 pm	11:00 am - 10:30 pm	11:00 am - 10:30 pm	11:00 am - 10:30 pm	11:00 am - 12:30 am	12:00 pm - 12:30 am	12:00 pm - 9:30 pm	Yes	Free	Yes	Garage, Street, Validated	NULL	Yes	No	No	Yes
10	The Carvery	201 Pine Ave,Long Beach,CA,90802	American (New),Steakhouses,Cocktail Bars	$11-30	4.0	156	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	10:00 am - 9:00 pm	No	Free	Yes	Garage, Street	Yes	Yes	Yes	NULL	Yes
11	Ballast Point Long Beach	110 N Marina Dr,Long Beach,CA,90803	Breweries,American (New)	$11-30	3.5	2489	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	10:00 am - 11:00 pm	10:00 am - 9:00 pm	Yes	Free	No	Valet, Private Lot	NULL	Yes	No	No	Yes
12	Roscoe's House of Chicken & Waffles	730 E Broadway,Long Beach,CA,90802	Soul Food,Breakfast & Brunch,Waffles	$11-30	3.5	3143	8:00 am - 10:00 pm	8:00 am - 10:00 pm	8:00 am - 10:00 pm	8:00 am - 10:00 pm	8:00 am - 2:30 am	8:00 am - 2:30 am	8:00 am - 10:00 pm	Yes	No	No	Garage, Street, Private Lot	NULL	Yes	No	No	Yes
13	Ellie's	204 Orange Ave,Long Beach,CA,90802	Italian	$11-30	4.5	642	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 11:00 pm	10:30 am - 11:00 pm	10:30 am - 10:00 pm	No	No	Yes	Street	NULL	Yes	No	No	Yes
14	George's Greek Cafe	135 Pine Ave,Long Beach,CA,90802	Greek,Mediterranean,Cafes	$11-30	4.5	2142	10:00 am - 10:00 pm	10:00 am - 10:00 pm	10:00 am - 10:00 pm	10:00 am - 10:00 pm	10:00 am - 11:00 pm	10:00 am - 11:00 pm	10:00 am - 10:00 pm	Yes	Free	Yes	Garage, Street, Validated	Yes	Yes	No	No	Yes
