	Name	Address	Category	Price	Rating	Reviews	Mon	Tue	Wed	Thu	Fri	Sat	Sun	Delivery	Wi_Fi	Takes_Reservations	Parking	Vegetarian_Options	Accepts_Credit_Cards	Accepts_Apple_Pay	Accepts_Google_Pay	Take_out
0	Dave's Hot Chicken	3462 Wilshire Blvd,Los Angeles,CA,90010	Chicken Shop	$11-30	4.0	82	11:00 am - 1:00 am	11:00 am - 1:00 am	11:00 am - 1:00 am	11:00 am - 1:00 am	11:00 am - 1:00 am	11:00 am - 1:00 am	11:00 am - 1:00 am	No	No	No	Garage, Street	NULL	Yes	Yes	No	Yes
1	Chef Kang Sul Box	3881 Wilshire Blvd,Los Angeles,CA,90010	Korean,Gastropubs,Chicken Shop	$11-30	5.0	31	5:00 pm - 2:00 am	5:00 pm - 2:00 am	5:00 pm - 2:00 am	5:00 pm - 2:00 am	5:00 pm - 2:00 am	5:00 pm - 2:00 am	5:00 pm - 2:00 am	Yes	Free	Yes	Street, Private Lot, Validated	NULL	Yes	NULL	NULL	Yes
2	CHD	3377 Wilshire Blvd,Ste 104,Los Angeles,CA,90010	Korean	$11-30	4.5	26	11:00 am - 8:30 pm	11:00 am - 8:30 pm	11:00 am - 8:30 pm	11:00 am - 8:30 pm	11:00 am - 8:30 pm	11:00 am - 8:30 pm	Closed	No	No	No	Valet, Validated	Yes	Yes	No	NULL	Yes
3	Bavel	500 Mateo St,Los Angeles,CA,90013	Middle Eastern	$31-60	4.5	1306	5:00 pm - 11:00 pm	5:00 pm - 11:00 pm	5:00 pm - 11:00 pm	5:00 pm - 11:00 pm	5:00 pm - 12:00 am	5:00 pm - 12:00 am	5:00 pm - 11:00 pm	No	Free	Yes	Valet, Street	Yes	Yes	No	NULL	Yes
4	Chinchikurin - Sawtelle	2119 Sawtelle Blvd,Los Angeles,CA,90025	Japanese	$11-30	4.5	528	11:30 am - 2:00 pm,5:00 pm - 10:30 pm	Closed	11:30 am - 2:00 pm,5:00 pm - 10:30 pm	11:30 am - 2:00 pm,5:00 pm - 10:30 pm	11:30 am - 2:00 pm,5:00 pm - 10:30 pm	11:30 am - 2:00 pm,5:00 pm - 10:30 pm	11:30 am - 2:00 pm,5:00 pm - 10:30 pm	Yes	No	Yes	Valet, Street	Yes	Yes	No	No	Yes
5	Hae Jang Chon Korean BBQ Restaurant	3821 W 6th St,Los Angeles,CA,90020	Korean,Barbeque	$11-30	4.0	4974	11:00 am - 2:00 am	11:00 am - 2:00 am	11:00 am - 2:00 am	11:00 am - 2:00 am	11:00 am - 2:00 am	11:00 am - 2:00 am	11:00 am - 2:00 am	No	Free	Yes	Valet	NULL	Yes	No	No	Yes
6	Daikokuya Little Tokyo	327 E 1st St,Los Angeles,CA,90012	Ramen,Noodles	$11-30	4.0	8494	11:00 am - 12:00 am	11:00 am - 12:00 am	11:00 am - 12:00 am	11:00 am - 12:00 am	11:00 am - 1:00 am	11:00 am - 1:00 am	11:00 am - 11:00 pm	No	No	No	Street	Yes	No	No	No	No
7	Pine & Crane	1521 Griffith Park Blvd,Los Angeles,CA,90026	Taiwanese,Chinese,Bubble Tea	$11-30	4.5	2252	12:00 pm - 10:00 pm	Closed	12:00 pm - 10:00 pm	12:00 pm - 10:00 pm	12:00 pm - 10:00 pm	12:00 pm - 10:00 pm	12:00 pm - 10:00 pm	No	No	No	Street	Yes	Yes	Yes	No	Yes
8	Angry Chickz	5065 Hollywood Blvd,Ste 102,Los Angeles,CA,90027	Southern,Comfort Food,Chicken Shop	$11-30	4.5	825	11:00 am - 12:00 am	11:00 am - 12:00 am	11:00 am - 12:00 am	11:00 am - 12:00 am	11:00 am - 2:00 am	11:00 am - 2:00 am	11:00 am - 12:00 am	No	Free	No	Street, Private Lot	NULL	Yes	Yes	Yes	Yes
9	Kang Ho-dong Baekjeong	3465 W 6th St,Los Angeles,CA,90020	Barbeque,Korean	$11-30	4.5	4253	11:30 am - 1:30 am	11:30 am - 1:30 am	11:30 am - 1:30 am	11:30 am - 1:30 am	11:30 am - 1:30 am	11:30 am - 1:30 am	11:30 am - 1:30 am	No	No	No	Valet	NULL	Yes	No	No	No
