	Name	Address	Category	Price	Rating	Reviews	Mon	Tue	Wed	Thu	Fri	Sat	Sun	Delivery	Wi_Fi	Takes_Reservations	Parking	Vegetarian_Options	Accepts_Credit_Cards	Accepts_Apple_Pay	Accepts_Google_Pay	Take_out
0	Brenda's Oakland	4045 Broadway,Oakland,CA,94611	Breakfast & Brunch,Southern,Cajun/Creole	$11-30	4.0	305	8:00 am - 9:00 pm	Closed	8:00 am - 9:00 pm	8:00 am - 9:00 pm	8:00 am - 9:00 pm	8:00 am - 9:00 pm	8:00 am - 9:00 pm	Yes	No	No	Street	Yes	Yes	Yes	Yes	Yes
1	La Perla	2020 MacArthur Blvd,Oakland,CA,94602	Puerto Rican	$11-30	4.5	156	Closed	Closed	12:00 pm - 7:00 pm	12:00 pm - 7:00 pm	12:00 pm - 7:00 pm	12:00 pm - 7:00 pm	12:00 pm - 5:00 pm	Yes	Free	No	Private Lot	NULL	Yes	Yes	NULL	Yes
2	MAMA Oakland	388 Grand Ave,Oakland,CA,94610	Italian,Wine Bars	$31-60	4.0	102	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	No	No	Yes	NULL	NULL	Yes	NULL	NULL	No
3	Marica	5301 College Ave,Oakland,CA,94618	Seafood,American (New)	$11-30	4.5	1998	5:00 pm - 9:30 pm	5:00 pm - 9:30 pm	5:00 pm - 9:30 pm	5:00 pm - 9:30 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 9:30 pm	No	No	Yes	Street	NULL	Yes	No	No	Yes
4	Kiraku	2566B Telegraph Ave,Berkeley,CA,94704	Japanese,Tapas/Small Plates,Tapas Bars	$11-30	4.5	1096	Closed	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 11:00 pm	5:30 pm - 11:00 pm	5:30 pm - 9:00 pm	No	No	Yes	Street	NULL	Yes	No	No	No
5	The Fat Lady	201 Washington St,Oakland,CA,94607	American (New),Bars	$11-30	4.0	992	5:00 pm - 12:00 am	11:30 am - 12:00 am	11:30 am - 12:00 am	11:30 am - 12:00 am	11:30 am - 12:00 am	10:00 am - 12:00 am	10:00 am - 4:00 pm	No	No	Yes	Street	NULL	Yes	No	No	Yes
6	Belotti Ristorante E Bottega	5403 College Ave,Oakland,CA,94618	Italian,Cocktail Bars,Wine Bars	$11-30	4.5	591	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 11:00 pm	11:00 am - 11:00 pm	Closed	No	No	Yes	Street	Yes	Yes	No	No	Yes
7	Gay 4 U	380 15th St,Oakland,CA,94612			5.0	24	5:00 pm - 9:00 pm	Closed	Closed	Closed	5:00 pm - 10:00 pm	11:00 am - 2:30 pm,5:00 pm - 10:00 pm	11:00 am - 2:30 pm	NULL	NULL	NULL	Street	NULL	NULL	NULL	NULL	NULL
8	Drake's Dealership	2325 Broadway Auto Row,Oakland,CA,94612	Breweries,American (Traditional),Pizza	$11-30	4.0	1815	11:30 am - 11:00 pm	11:30 am - 11:00 pm	11:30 am - 11:00 pm	11:30 am - 1:00 am	11:30 am - 1:00 am	11:30 am - 1:00 am	11:30 am - 11:00 pm	No	Free	Yes	Street	Yes	Yes	No	No	Yes
9	FOB Kitchen	5179 Telegraph Ave,Oakland,CA,94609	Filipino,Cocktail Bars	$11-30	4.0	280	Closed	Closed	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	10:30 am - 2:30 pm,5:30 pm - 10:00 pm	10:30 am - 2:30 pm,5:00 pm - 9:00 pm	Yes	No	No	Street, Private Lot	Yes	Yes	No	No	Yes
