	Name	Address	Category	Price	Rating	Reviews	Mon	Tue	Wed	Thu	Fri	Sat	Sun	Delivery	Wi_Fi	Takes_Reservations	Parking	Vegetarian_Options	Accepts_Credit_Cards	Accepts_Apple_Pay	Accepts_Google_Pay	Take_out
0	Hao pot	1242 University Ave,Unit 5,Riverside,CA,92507	Asian Fusion,Chinese	$11-30	5.0	5								Yes	Free	No	Private Lot	Yes	Yes	No	NULL	Yes
1	Espettos Grill	5225 Canyon Crest Dr,Ste 57,Riverside,CA,92507	Brazilian	$11-30	4.5	186	Closed	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 7:00 pm	Yes	Free	No	NULL	NULL	Yes	Yes	NULL	Yes
2	Kabob House	10901 Magnolia Ave,Riverside,CA,92505	Mediterranean,Halal,Kebab	$11-30	4.5	538	10:30 am - 9:00 pm	10:30 am - 9:00 pm	10:30 am - 9:00 pm	10:30 am - 9:00 pm	10:30 am - 9:00 pm	11:00 am - 8:00 pm	11:00 am - 8:00 pm	Yes	No	No	Private Lot	NULL	Yes	Yes	No	Yes
3	Pig Pen Delicacy	3605 Market St,Ste 1,Riverside,CA,92501	American (Traditional)	$11-30	4.0	300	8:00 am - 9:00 pm	8:00 am - 9:00 pm	8:00 am - 9:00 pm	8:00 am - 9:00 pm	8:00 am - 11:00 pm	8:00 am - 11:00 pm	8:00 am - 10:00 pm	Yes	Free	No	Street	Yes	Yes	Yes	NULL	Yes
4	Genkiyaki	1400 University Ave,Ste A109,Riverside,CA,92507	Asian Fusion,Japanese,Mexican	Under $10	4.0	348	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 3:00 am	11:00 am - 3:00 am	11:00 am - 3:00 am	11:00 am - 9:00 pm	Yes	Free	Yes	Garage	NULL	Yes	Yes	Yes	Yes
5	Oasis Vegetarian Cafe	11550 Pierce St,Riverside,CA,92505	Vegetarian,Vegan	Under $10	4.5	733	10:00 am - 8:00 pm	10:00 am - 8:00 pm	10:00 am - 8:00 pm	10:00 am - 8:00 pm	10:00 am - 4:00 pm	Closed	9:00 am - 7:00 pm	No	Free	No	Private Lot	Yes	Yes	Yes	No	Yes
6	The Salted Pig	3750 Main St,Ste 103,Riverside,CA,92501	American (Traditional),Gastropubs,Bars	$11-30	4.0	2820	11:30 am - 9:00 pm	11:30 am - 9:00 pm	11:30 am - 9:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 9:00 pm	No	No	Yes	Street	Yes	Yes	No	No	Yes
7	Epic Wings	3540 Riverside Plaza Dr,Ste 330,Riverside,CA,92506			4.0	9	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	NULL	NULL	No	NULL	NULL	NULL	NULL	NULL	NULL
8	Raising Cane's Chicken Fingers	11066 Magnolia Ave,Riverside,CA,92505	Fast Food	Under $10	3.5	545	9:00 am - 1:00 am	9:00 am - 1:00 am	9:00 am - 1:00 am	9:00 am - 1:00 am	9:00 am - 3:30 am	9:00 am - 3:30 am	9:00 am - 1:00 am	No	No	No	Private Lot	NULL	Yes	No	No	Yes
9	Viva Sevilla	1223 University Ave,Ste 140,Riverside,CA,92507	Tapas Bars	$11-30	4.5	37	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	No	Free	Yes	NULL	NULL	Yes	NULL	NULL	Yes
10	Wang Cho Korean BBQ	3639 Riverside Plaza Dr,Riverside,CA,92506	Korean,Barbeque	$11-30	4.0	1176	11:30 am - 11:00 pm	11:30 am - 11:00 pm	11:30 am - 11:00 pm	11:30 am - 11:00 pm	11:30 am - 12:00 am	11:30 am - 12:00 am	11:30 am - 11:00 pm	No	No	Yes	Private Lot	NULL	Yes	No	No	No
11	Al Karam Pakistani Cuisine	3457 Arlington Ave,Ste 101,Riverside,CA,92506	Halal,Pakistani	$11-30	4.5	180	11:00 am - 10:00 pm	Closed	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	Yes	No	Yes	Street, Private Lot	NULL	Yes	No	NULL	Yes
12	Le Chat Noir	3790 9th St,Riverside,CA,92501	French	$31-60	4.5	302	Closed	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	Closed	No	No	Yes	Street	NULL	Yes	No	NULL	No
13	Pier 76 Fish Grill	3555 Riverside Plaza Dr,Ste 108,Riverside,CA,92506	Seafood,American (New),Fish & Chips	$11-30	4.0	560	10:30 am - 9:00 pm	10:30 am - 9:00 pm	10:30 am - 9:00 pm	10:30 am - 9:00 pm	10:30 am - 9:00 pm	10:30 am - 9:00 pm	10:30 am - 9:00 pm	Yes	Free	No	Street	NULL	Yes	Yes	Yes	Yes
14	Marios Place	3646 Mission Inn Ave,Riverside,CA,92501	Italian	$31-60	4.0	671	5:30 pm - 9:30 pm	5:30 pm - 9:30 pm	5:30 pm - 9:30 pm	5:30 pm - 9:30 pm	5:30 pm - 11:00 pm	5:30 pm - 11:00 pm	Closed	No	Free	Yes	Street, Private Lot	NULL	Yes	No	Yes	Yes
15	California Fish Grill	10920 Magnolia Ave,Ste 101,Riverside,CA,92505	Seafood,Fish & Chips,Tacos	$11-30	4.5	220	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:30 pm	11:00 am - 9:30 pm	11:00 am - 9:30 pm	11:00 am - 9:00 pm	No	Free	No	Private Lot	NULL	Yes	No	No	Yes
16	Sam's Bann Thai	3203 Mission Inn Ave,Riverside,CA,92507	Thai,Salad,Hot Pot	$11-30	4.0	1179	11:00 am - 8:30 pm	11:00 am - 8:30 pm	11:00 am - 8:30 pm	11:00 am - 8:30 pm	11:00 am - 9:30 pm	12:00 pm - 9:30 pm	12:00 pm - 8:30 pm	Yes	Free	Yes	Private Lot	Yes	Yes	No	No	Yes
17	Yoli's Mexican Grill	3225 Market St,Riverside,CA,92501	Mexican	$11-30	4.5	169	10:30 am - 8:00 pm	10:30 am - 8:00 pm	10:30 am - 8:00 pm	10:30 am - 8:00 pm	10:30 am - 9:00 pm	10:00 am - 9:00 pm	10:00 am - 4:00 pm	No	No	No	Street, Private Lot	NULL	Yes	NULL	NULL	Yes
18	El Patron Downtown Riverside	3204 Mission Inn Ave,Riverside,CA,92507	Mexican,Cocktail Bars	$11-30	4.5	105	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 10:00 pm	12:00 pm - 10:00 pm	10:00 am - 8:00 pm	No	No	Yes	Private Lot	Yes	Yes	No	No	Yes
19	Pho Star Bowl	10051 Magnolia Ave,Ste B1,Riverside,CA,92503	Vietnamese,Salad,Sandwiches	Under $10	4.5	699	10:00 am - 8:00 pm	10:00 am - 8:00 pm	Closed	10:00 am - 8:00 pm	10:00 am - 8:00 pm	10:00 am - 8:00 pm	10:00 am - 8:00 pm	No	No	No	Private Lot	Yes	Yes	No	No	Yes
20	The Old Spaghetti Factory	3191 Mission Inn Ave,Riverside,CA,92507	Italian	$11-30	3.0	620	11:30 am - 9:30 pm	11:30 am - 9:30 pm	11:30 am - 9:30 pm	11:30 am - 9:30 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 9:30 pm	No	No	Yes	Private Lot	NULL	Yes	No	NULL	Yes
21	Sushi Asahi	2955 Van Buren Blvd,Ste D-2,Riverside,CA,92503	Sushi Bars,Japanese	$11-30	4.0	2456	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	Yes	No	Yes	Private Lot	NULL	Yes	No	No	Yes
22	Plant Power Fast Food	3940 University Ave,Riverside,CA,92501			4.5	28	7:00 am - 10:00 pm	7:00 am - 10:00 pm	7:00 am - 10:00 pm	7:00 am - 10:00 pm	7:00 am - 10:00 pm	7:00 am - 10:00 pm	7:00 am - 10:00 pm	NULL	NULL	No	Garage, Private Lot	NULL	Yes	Yes	NULL	Yes
23	Taco Station	4088 Mission Inn Ave,Riverside,CA,92501	Mexican	Under $10	4.0	593	7:00 am - 11:00 pm	7:00 am - 11:00 pm	7:00 am - 11:00 pm	7:00 am - 11:00 pm	7:00 am - 11:00 pm	7:00 am - 11:00 pm	7:00 am - 11:00 pm	No	Free	No	Private Lot	NULL	Yes	No	Yes	Yes
24	OK Tofu House	10560 Magnolia Ave,Ste D,Riverside,CA,92505	Korean,Soup,Noodles	$11-30	4.0	240	Closed	11:00 am - 9:30 pm	11:00 am - 9:30 pm	11:00 am - 9:30 pm	11:00 am - 9:30 pm	11:00 am - 9:30 pm	11:00 am - 8:30 pm	No	Free	No	Private Lot	NULL	Yes	No	NULL	Yes
25	Messi Soul Kitchen	4270 Riverwalk Pkwy,Ste 104,Riverside,CA,92505	Soul Food,Desserts,Barbeque	$11-30	4.5	62	Closed	11:00 am - 8:00 pm	11:00 am - 8:00 pm	11:00 am - 8:00 pm	11:00 am - 8:00 pm	1:00 pm - 8:00 pm	1:00 pm - 7:00 pm	NULL	NULL	NULL	NULL	NULL	Yes	NULL	NULL	NULL
26	Palenque	3737 Main St,Riverside,CA,92501			4.0	48	5:00 pm - 9:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 12:00 am	4:00 pm - 12:00 am	10:30 am - 10:00 pm	Yes	Free	Yes	Garage, Street, Private Lot	NULL	Yes	NULL	NULL	Yes
27	Star Crab	10051 Magnolia Ave,Ste A6,Riverside,CA,92503	Seafood,Cajun/Creole	$11-30	4.0	457	12:00 pm - 10:00 pm	12:00 pm - 10:00 pm	12:00 pm - 10:00 pm	12:00 pm - 10:00 pm	12:00 pm - 11:00 pm	12:00 pm - 11:00 pm	12:00 pm - 10:00 pm	No	Free	Yes	Private Lot	NULL	Yes	No	No	Yes
28	Elias Pita	1490 University Ave,Ste 103,Riverside,CA,92507	Mediterranean,Middle Eastern,Sandwiches	$11-30	4.5	844	10:00 am - 9:00 pm	10:00 am - 9:00 pm	10:00 am - 9:00 pm	10:00 am - 9:00 pm	10:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	Yes	No	No	Street, Private Lot	Yes	Yes	Yes	Yes	Yes
29	Backstreet Restaurant	3735 Nelson St,Riverside,CA,92506	Sandwiches,Delis	$11-30	4.0	318	11:00 am - 3:00 pm	11:00 am - 3:00 pm	11:00 am - 3:00 pm	11:00 am - 3:00 pm	11:00 am - 3:00 pm	Closed	Closed	No	Free	No	Street, Private Lot	NULL	Yes	No	NULL	Yes
30	Diablos Micheladas Mexican Grill	8304 Limonite Ave,Ste A,Riverside,CA,92509	Mexican	$11-30	4.5	24	10:00 am - 9:00 pm	10:00 am - 9:00 pm	10:00 am - 9:00 pm	10:00 am - 9:00 pm	10:00 am - 9:00 pm	10:00 am - 9:00 pm	10:00 am - 9:00 pm	No	Free	No	Private Lot	NULL	Yes	No	No	Yes
31	Panini Kabob Grill	1298 Galleria At Tyler,Riverside,CA,92503	Mediterranean,Persian/Iranian,Middle Eastern	$11-30	4.5	281	10:00 am - 8:30 pm	10:00 am - 8:30 pm	10:00 am - 8:30 pm	10:00 am - 8:30 pm	10:00 am - 8:30 pm	10:00 am - 8:30 pm	10:00 am - 8:30 pm	Yes	Free	NULL	Garage	NULL	Yes	NULL	NULL	Yes
32	Otsuka Ramen & Bar	10949 Magnolia Ave,Riverside,CA,92505	Ramen,Bars	$11-30	3.5	102	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 10:00 pm	NULL	NULL	No	NULL	NULL	Yes	NULL	NULL	NULL
33	Punjab Palace	10359 Magnolia Ave,Riverside,CA,92505	Indian	$11-30	4.0	465	11:30 am - 3:00 pm,5:00 pm - 9:30 pm	11:30 am - 3:00 pm,5:00 pm - 9:30 pm	11:30 am - 3:00 pm,5:00 pm - 9:30 pm	11:30 am - 3:00 pm,5:00 pm - 9:30 pm	11:30 am - 3:00 pm,5:00 pm - 9:30 pm	11:30 am - 3:00 pm,5:00 pm - 9:30 pm	11:30 am - 3:00 pm,5:00 pm - 9:30 pm	No	No	Yes	Private Lot	Yes	Yes	Yes	NULL	Yes
34	Pho Ha #7	1820 University Ave,Ste 101,Riverside,CA,92507	Vietnamese,Noodles	Under $10	4.0	396	9:00 am - 10:00 pm	9:00 am - 10:00 pm	9:00 am - 10:00 pm	9:00 am - 10:00 pm	9:00 am - 10:00 pm	9:00 am - 10:00 pm	9:00 am - 10:00 pm	Yes	Free	Yes	Private Lot	NULL	Yes	Yes	No	Yes
35	Ixtapa	4093 University Ave,Riverside,CA,92501	Seafood,Mexican	$11-30	4.0	81								NULL	NULL	NULL	Private Lot	NULL	Yes	NULL	NULL	Yes
36	Hotlanta Wings and Things	3950 Pierce St,Ste B,Riverside,CA,92505	American (Traditional),Chicken Wings	Under $10	3.0	509	8:00 am - 2:00 am	8:00 am - 2:00 am	8:00 am - 2:00 am	8:00 am - 2:00 am	8:00 am - 2:00 am	8:00 am - 2:00 am	9:00 am - 9:00 pm	Yes	No	No	Private Lot	NULL	Yes	No	NULL	Yes
37	Chick-fil-A	3640 Central Ave,Riverside,CA,92506	Fast Food	Under $10	3.0	118	6:30 am - 10:00 pm	6:30 am - 10:00 pm	6:30 am - 10:00 pm	6:30 am - 10:00 pm	6:30 am - 10:00 pm	6:30 am - 10:00 pm	Closed	No	Free	No	Private Lot	NULL	Yes	Yes	NULL	Yes
38	El Trigo	4155 Park Ave,Riverside,CA,92507	Mexican	Under $10	4.5	390	8:00 am - 9:00 pm	8:00 am - 9:00 pm	8:00 am - 9:00 pm	8:00 am - 9:00 pm	8:00 am - 9:00 pm	8:00 am - 9:00 pm	8:00 am - 9:00 pm	No	No	No	Street	Yes	Yes	No	No	Yes
39	Pho DJ	5180 Arlington Ave,Riverside,CA,92504	Vietnamese	Under $10	4.5	64	10:00 am - 9:00 pm	10:00 am - 9:00 pm	10:00 am - 9:00 pm	10:00 am - 9:00 pm	10:00 am - 9:00 pm	10:00 am - 8:30 pm	10:00 am - 8:30 pm	No	No	No	Private Lot	Yes	Yes	Yes	Yes	Yes
40	So China	3737 Main St,Ste 106,Riverside,CA,92501	Chinese,Seafood,Chicken Shop	Under $10	4.0	78	10:00 am - 9:00 pm	10:00 am - 9:00 pm	10:00 am - 9:00 pm	10:00 am - 9:00 pm	10:00 am - 10:00 pm	11:00 am - 10:00 pm	Closed	Yes	No	Yes	Street	NULL	Yes	Yes	No	Yes
41	Punjab Palace	1766 University Ave,Ste 102,Riverside,CA,92507	Indian,Buffets	$11-30	4.0	560	11:30 am - 3:00 pm,5:00 pm - 9:30 pm	11:30 am - 3:00 pm,5:00 pm - 9:30 pm	11:30 am - 3:00 pm,5:00 pm - 9:30 pm	11:30 am - 3:00 pm,5:00 pm - 9:30 pm	11:30 am - 3:00 pm,5:00 pm - 9:30 pm	11:30 am - 3:00 pm,5:00 pm - 9:30 pm	11:30 am - 3:00 pm,5:00 pm - 9:30 pm	No	Free	Yes	Private Lot	NULL	Yes	No	No	Yes
42	Sushi R91	1630 Spruce St,Riverside,CA,92507	Japanese,Sushi Bars,Asian Fusion	$11-30	4.0	423	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:30 pm	12:00 pm - 10:30 pm	1:00 pm - 9:00 pm	No	Free	Yes	Garage, Street, Private Lot	Yes	Yes	No	No	Yes
43	Farfallas Cucina Italiana	5250 Arlington Ave,Heritage Plaza,Riverside,CA,92504	Italian	$11-30	4.0	189	11:00 am - 8:30 pm	11:00 am - 8:30 pm	11:00 am - 8:30 pm	11:00 am - 8:30 pm	11:00 am - 9:00 pm	4:00 pm - 9:00 pm	12:00 pm - 8:00 pm	No	No	Yes	Private Lot	NULL	Yes	NULL	NULL	Yes
44	Yard House	3775 Tyler St,Riverside,CA,92503	American (New),Bars,Vegetarian	$11-30	3.5	879	11:00 am - 12:00 am	11:00 am - 12:00 am	11:00 am - 12:00 am	11:00 am - 12:00 am	11:00 am - 1:20 am	10:00 am - 1:20 am	10:00 am - 12:00 am	Yes	Free	No	Garage	Yes	Yes	No	No	Yes
45	Kamay Kainan	10759 Magnolia Ave,Riverside,CA,92505	Filipino	Under $10	4.0	52	7:00 am - 8:00 pm	7:00 am - 8:00 pm	7:00 am - 8:00 pm	7:00 am - 8:00 pm	7:00 am - 8:00 pm	7:00 am - 8:00 pm	7:00 am - 8:00 pm	No	Free	Yes	Private Lot	NULL	Yes	NULL	NULL	Yes
46	5 Star Pho Restaurant	4950 La Sierra Ave,Ste 2,Riverside,CA,92505	Vietnamese,Noodles,Soup	Under $10	4.5	298	10:00 am - 10:00 pm	10:00 am - 10:00 pm	10:00 am - 10:00 pm	10:00 am - 10:00 pm	10:00 am - 10:00 pm	10:00 am - 10:00 pm	10:00 am - 10:00 pm	No	No	No	Private Lot	Yes	Yes	No	NULL	Yes
