	Name	Address	Category	Price	Rating	Reviews	Mon	Tue	Wed	Thu	Fri	Sat	Sun	Delivery	Wi_Fi	Takes_Reservations	Parking	Vegetarian_Options	Accepts_Credit_Cards	Accepts_Apple_Pay	Accepts_Google_Pay	Take_out
0	Don Chuy's Birria	6035 Stockton Blvd,Sacramento,CA,95826	Mexican	Under $10	4.5	156	Closed	Closed	10:00 am - 6:00 pm	10:00 am - 6:00 pm	10:00 am - 6:00 pm	9:00 am - 3:00 pm	9:00 am - 3:00 pm	No	No	No	Street	NULL	No	No	No	Yes
1	Tako Korean BBQ	3030 T St,Sacramento,CA,95816	Barbeque,Korean,Tacos	Under $10	4.0	1304	10:30 am - 10:00 pm	10:30 am - 10:00 pm	10:30 am - 10:00 pm	10:30 am - 10:00 pm	10:30 am - 3:00 am	10:30 am - 3:00 am	10:30 am - 10:00 pm	No	No	No	Garage, Street, Private Lot	NULL	Yes	Yes	No	Yes
2	Hao Bao Dumplings	6821 Stockton Blvd,Ste 100,Sacramento,CA,95823	Chinese,Noodles,Soup	Under $10	4.5	311	10:30 am - 8:00 pm	10:30 am - 8:00 pm	10:30 am - 8:00 pm	10:30 am - 8:00 pm	10:30 am - 8:00 pm	10:30 am - 8:00 pm	10:30 am - 8:00 pm	Yes	No	No	Private Lot	Yes	Yes	Yes	Yes	Yes
3	Ramen House Ryujin	1831 S St,Sacramento,CA,95811	Ramen,Noodles	Under $10	4.5	2848	11:30 am - 2:30 pm,5:00 pm - 10:00 pm	11:30 am - 2:30 pm,5:00 pm - 10:00 pm	11:30 am - 2:30 pm,5:00 pm - 10:00 pm	11:30 am - 2:30 pm,5:00 pm - 10:00 pm	11:30 am - 2:30 pm,5:00 pm - 12:00 am	11:30 am - 2:30 pm,5:00 pm - 12:00 am	11:30 am - 2:30 pm,5:00 pm - 10:00 pm	No	No	No	Garage, Street, Private Lot	NULL	Yes	No	No	Yes
4	The Boiling Crab	1000 K St,Ste 100,Sacramento,CA,95814	Cajun/Creole,Seafood	$11-30	3.5	436	3:00 pm - 10:00 pm	3:00 pm - 10:00 pm	3:00 pm - 10:00 pm	3:00 pm - 10:00 pm	3:00 pm - 10:00 pm	12:00 pm - 10:00 pm	12:00 pm - 10:00 pm	No	Free	No	Garage, Street, Private Lot, Validated	NULL	Yes	No	No	Yes
5	Oz Korean BBQ	3343 Bradshaw Rd,Sacramento,CA,95827	Korean,Barbeque	$11-30	4.0	2608	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 10:00 pm	No	No	Yes	Private Lot	Yes	Yes	No	No	Yes
6	Cafeteria 15L	1116 15th St,Sacramento,CA,95814	American (Traditional),Breakfast & Brunch,American (New)	$11-30	4.0	2632	11:30 am - 9:30 pm	11:30 am - 9:30 pm	11:30 am - 9:30 pm	11:30 am - 9:30 pm	11:30 am - 11:00 pm	9:00 am - 11:00 pm	9:00 am - 8:30 pm	No	Free	Yes	Valet, Garage, Street	NULL	Yes	Yes	No	Yes
7	Tamashii Ramen	1032 Florin Rd,Sacramento,CA,95831			4.0	49	11:00 am - 8:00 pm	11:00 am - 8:00 pm	11:00 am - 8:00 pm	11:00 am - 8:00 pm	11:00 am - 8:00 pm	11:00 am - 8:00 pm	11:00 am - 8:00 pm	No	Free	Yes	Garage, Validated	NULL	Yes	NULL	NULL	Yes
8	The Boiling Crab	6910 65th St,Ste 100,Sacramento,CA,95823	Seafood,Cajun/Creole	$11-30	3.5	1496	3:00 pm - 10:00 pm	3:00 pm - 10:00 pm	3:00 pm - 10:00 pm	3:00 pm - 10:00 pm	3:00 pm - 10:00 pm	12:00 pm - 10:00 pm	12:00 pm - 10:00 pm	No	No	No	Private Lot	NULL	Yes	No	Yes	Yes
9	The Waffle Experience	4391 Gateway Park Blvd,Ste 650,Sacramento,CA,95834	Breakfast & Brunch,American (New),Waffles	$11-30	4.0	2596	8:00 am - 3:00 pm	8:00 am - 3:00 pm	8:00 am - 3:00 pm	8:00 am - 3:00 pm	8:00 am - 3:00 pm	8:00 am - 3:00 pm	8:00 am - 3:00 pm	No	Free	No	Street, Private Lot	NULL	Yes	No	No	Yes
10	Urban Roots Brewing & Smokehouse	1322 V St,Sacramento,CA,95818	Breweries,Smokehouse,Barbeque	$11-30	4.0	549	Closed	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	No	Free	No	Street	NULL	Yes	No	No	Yes
11	Iron Horse Tavern	1800 15th St,Ste B,Sacramento,CA,95811	Bars,American (New),Breakfast & Brunch	$11-30	4.0	2393	8:00 am - 11:00 pm	8:00 am - 11:00 pm	8:00 am - 11:00 pm	8:00 am - 11:00 pm	8:00 am - 1:00 am	8:00 am - 1:00 am	8:00 am - 11:00 pm	No	Free	No	Garage, Street	NULL	Yes	No	No	Yes
12	MoMo's Meat Market	5776 Broadway,Sacramento,CA,95820	Barbeque	$11-30	4.5	801	Closed	Closed	11:00 am - 7:00 pm	11:00 am - 7:00 pm	11:00 am - 7:00 pm	11:00 am - 6:00 pm	Closed	No	No	No	Private Lot	NULL	Yes	No	No	Yes
