	Name	Address	Category	Price	Rating	Reviews	Mon	Tue	Wed	Thu	Fri	Sat	Sun	Delivery	Wi_Fi	Takes_Reservations	Parking	Vegetarian_Options	Accepts_Credit_Cards	Accepts_Apple_Pay	Accepts_Google_Pay	Take_out
0	Liberty Public Market	2820 Historic Decatur Rd,San Diego,CA,92106	Farmers Market,Food Court,Public Markets	$11-30	4.0	927	10:30 am - 9:00 pm	10:30 am - 9:00 pm	10:30 am - 9:00 pm	10:30 am - 9:00 pm	10:30 am - 9:00 pm	10:30 am - 9:00 pm	10:30 am - 9:00 pm	No	Free	Yes	Street, Private Lot	NULL	Yes	Yes	Yes	Yes
1	Bud & Rob's New Orleans Bistro	815 F St,San Diego,CA,92101	Cajun/Creole,Sandwiches,Desserts	$11-30	5.0	467	Closed	11:00 am - 2:30 pm	11:00 am - 2:30 pm	11:00 am - 8:00 pm	11:00 am - 8:00 pm	11:00 am - 8:00 pm	Closed	Yes	Free	Yes	Street	Yes	Yes	No	No	Yes
2	Barbusa	1917 India St,San Diego,CA,92101	Sicilian,Seafood,Pizza	$11-30	4.0	2002	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 11:00 pm	11:30 am - 11:00 pm	11:30 am - 10:00 pm	No	Free	Yes	Street, Private Lot	Yes	Yes	No	No	Yes
3	Din Tai Fung	4301 La Jolla Village Dr,Bldg P Unit 2000,San Diego,CA,92122	Taiwanese,Dim Sum,Noodles	$11-30	4.5	2528	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	10:00 am - 9:00 pm	10:00 am - 9:00 pm	Yes	No	Yes	Garage	Yes	Yes	No	No	Yes
4	Hodad's	5010 Newport Ave,San Diego,CA,92107	Burgers	$11-30	4.0	5440	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:30 pm	11:00 am - 9:30 pm	11:00 am - 9:00 pm	No	No	No	Street, Private Lot	NULL	Yes	No	No	Yes
5	Bud's Louisiana Cafe	4320 Viewridge Ave,Ste A,San Diego,CA,92123	Cajun/Creole,Breakfast & Brunch,Wine Bars	$11-30	4.5	2292	7:00 am - 2:30 pm	7:00 am - 2:30 pm	7:00 am - 9:00 pm	7:00 am - 9:00 pm	7:00 am - 9:00 pm	12:00 pm - 9:00 pm	Closed	No	No	Yes	Street, Private Lot	NULL	Yes	No	No	Yes
6	Bahn Thai	4646 Park Blvd,Ste 3,San Diego,CA,92116	Thai	Under $10	4.5	2351	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	4:00 pm - 10:00 pm	No	No	No	Street	Yes	Yes	Yes	No	Yes
7	Buon Appetito	1609 India St,San Diego,CA,92101	Italian	$11-30	4.0	2288	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	12:00 pm - 10:00 pm	No	No	Yes	Street, Private Lot	Yes	Yes	No	No	Yes
8	Serrano's Street Tacos & Bar	624 E St,San Diego,CA,92101	New Mexican Cuisine,Bars	$11-30	4.5	652	11:00 am - 9:00 pm	11:00 am - 1:30 am	11:00 am - 10:00 pm	11:00 am - 11:00 pm	11:00 am - 3:00 am	11:00 am - 3:00 am	11:00 am - 8:00 pm	Yes	No	Yes	Street, Private Lot	NULL	Yes	Yes	No	Yes
9	C Level	880 Harbor Island Dr,San Diego,CA,92101	American (New),Seafood,Steakhouses	$11-30	4.0	3015	11:30 am - 9:00 pm	11:30 am - 9:00 pm	11:30 am - 9:00 pm	11:30 am - 9:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 9:00 pm	No	Free	Yes	Valet, Street, Private Lot	NULL	Yes	No	No	Yes
10	Homestyle Hawaiian	7524 Mesa College Dr,San Diego,CA,92111	Hawaiian,Salad,Seafood	$11-30	4.0	1660	11:00 am - 8:00 pm	11:00 am - 8:00 pm	11:00 am - 8:00 pm	11:00 am - 8:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 8:00 pm	No	No	No	Private Lot	NULL	No	No	Yes	Yes
11	Cross Street Chicken and Beer	4403 Convoy St,San Diego,CA,92111	Chicken Shop,Korean,Beer Bar	$11-30	4.5	1407	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 12:00 am	11:30 am - 12:00 am	11:30 am - 12:00 am	11:30 am - 10:00 pm	Yes	No	No	Street	NULL	Yes	Yes	Yes	Yes
12	Snooze, An A.M. Eatery	3940 5th Ave,San Diego,CA,92103	Breakfast & Brunch,Coffee & Tea,Sandwiches	$11-30	4.5	6772	6:30 am - 2:30 pm	6:30 am - 2:30 pm	6:30 am - 2:30 pm	6:30 am - 2:30 pm	6:30 am - 2:30 pm	6:30 am - 2:30 pm	6:30 am - 2:30 pm	No	Free	No	Street	Yes	Yes	No	No	Yes
13	Meze Greek Fusion	345 6th Ave,San Diego,CA,92101	Mediterranean,Greek,Venues & Event Spaces	$11-30	4.5	2338	11:00 am - 10:30 pm	11:00 am - 10:30 pm	11:00 am - 10:30 pm	11:00 am - 10:30 pm	11:00 am - 12:30 am	11:00 am - 12:30 am	11:00 am - 10:30 pm	Yes	Free	Yes	Valet, Street	Yes	Yes	No	No	Yes
14	Cafe Coyote	2461 San Diego Ave,San Diego,CA,92110	Mexican,Venues & Event Spaces	$11-30	3.5	5089	7:00 am - 10:00 pm	7:00 am - 10:00 pm	7:00 am - 10:00 pm	7:00 am - 10:00 pm	7:00 am - 10:00 pm	7:00 am - 10:00 pm	7:00 am - 10:00 pm	No	Free	Yes	Garage, Street, Private Lot	Yes	Yes	No	No	Yes
15	Crushed	967 Garnet Ave,San Diego,CA,92109	Tapas/Small Plates,Breakfast & Brunch,Bars	$11-30	4.5	2231	8:00 am - 10:00 pm	8:00 am - 10:00 pm	8:00 am - 10:00 pm	8:00 am - 10:00 pm	8:00 am - 12:00 am	8:00 am - 12:00 am	8:00 am - 10:00 pm	No	No	Yes	Street	Yes	Yes	No	No	Yes
16	King and Queen Cantina	1490 Kettner Blvd,San Diego,CA,92101	Mexican,Cocktail Bars,Tapas Bars	$11-30	4.5	1774	2:00 pm - 12:00 am	2:00 pm - 12:00 am	2:00 pm - 12:00 am	2:00 pm - 12:00 am	12:00 pm - 1:00 am	10:00 am - 1:00 am	10:00 am - 10:00 pm	Yes	Free	Yes	Street	Yes	Yes	No	NULL	Yes
17	Pho Ca Dao Vietnamese Kitchen	2401 Fenton Prkwy,Ste 104,San Diego,CA,92108			4.5	18								NULL	Free	NULL	NULL	NULL	Yes	Yes	NULL	Yes
18	Iron Pig Alehouse	1520 Garnet Ave,San Diego,CA,92109	Barbeque,American (Traditional),Beer Bar	$11-30	4.5	1065	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 11:00 pm	11:30 am - 11:00 pm	8:30 am - 11:00 pm	8:30 am - 10:00 pm	Yes	Free	Yes	Street, Private Lot	NULL	Yes	No	No	Yes
19	BO-beau kitchen + bar	4996 W Point Loma Blvd,San Diego,CA,92107	French,Mediterranean,American (New)	$11-30	4.5	1581	4:30 pm - 9:00 pm	4:30 pm - 9:00 pm	4:30 pm - 9:00 pm	4:30 pm - 9:00 pm	4:30 pm - 10:00 pm	4:30 pm - 10:00 pm	4:30 pm - 9:00 pm	No	Free	No	Street, Private Lot	NULL	Yes	No	No	No
20	Ballast Point Little Italy	2215 India St,San Diego,CA,92101	Breweries,American (New)	$11-30	4.5	1884	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 12:00 am	11:00 am - 12:00 am	11:00 am - 11:00 pm	No	Free	No	Valet, Street	NULL	Yes	No	No	Yes
21	True Food Kitchen	7007 Friars Rd,Ste 394,Valley Mall,San Diego,CA,92108	American (New),Vegetarian,Vegan	$11-30	4.0	2282	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	10:00 am - 9:00 pm	10:00 am - 9:00 pm	Yes	Free	Yes	Valet, Garage, Private Lot	Yes	Yes	No	No	Yes
