	Name	Address	Category	Price	Rating	Reviews	Mon	Tue	Wed	Thu	Fri	Sat	Sun	Delivery	Wi_Fi	Takes_Reservations	Parking	Vegetarian_Options	Accepts_Credit_Cards	Accepts_Apple_Pay	Accepts_Google_Pay	Take_out
0	Tadu Ethiopian Kitchen	1120-30 4th St,San Francisco,CA,94158	Ethiopian	$11-30	4.5	249	11:30 am - 9:30 pm	11:30 am - 9:30 pm	11:30 am - 9:30 pm	11:30 am - 9:30 pm	11:30 am - 9:30 pm	11:00 am - 9:30 pm	11:00 am - 9:30 pm	No	No	Yes	Street	Yes	Yes	Yes	Yes	Yes
1	Noosh	2001 Fillmore St,San Francisco,CA,94115	Mediterranean	$11-30	3.5	325	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 9:00 pm	Yes	Free	No	Street	NULL	Yes	NULL	NULL	Yes
2	Loló	974 Valencia St,San Francisco,CA,94110	Mexican,Tapas/Small Plates	$11-30	4.0	2194	5:30 pm - 11:00 pm	5:30 pm - 11:00 pm	5:30 pm - 11:00 pm	5:30 pm - 11:00 pm	5:30 pm - 1:00 am	11:00 am - 3:30 pm,5:30 pm - 1:00 am	11:00 am - 4:00 pm	No	No	Yes	Street	NULL	Yes	No	Yes	No
3	Kokkari Estiatorio	200 Jackson St,San Francisco,CA,94111	Greek,Mediterranean	$31-60	4.5	4516	11:30 am - 2:30 pm,5:30 pm - 10:00 pm	11:30 am - 2:30 pm,5:30 pm - 10:00 pm	11:30 am - 2:30 pm,5:30 pm - 10:00 pm	11:30 am - 2:30 pm,5:30 pm - 10:00 pm	11:30 am - 2:30 pm,5:30 pm - 11:00 pm	5:00 pm - 11:00 pm	5:00 pm - 10:00 pm	Yes	No	Yes	Garage, Street, Private Lot	NULL	Yes	No	Yes	No
4	Dumpling Kitchen	1935 Taraval St,San Francisco,CA,94116	Chinese	$11-30	4.0	1539	11:00 am - 3:00 pm,5:00 pm - 9:30 pm	11:00 am - 3:00 pm,5:00 pm - 9:30 pm	Closed	11:00 am - 3:00 pm,5:00 pm - 9:30 pm	11:00 am - 3:00 pm,5:00 pm - 9:30 pm	10:30 am - 9:30 pm	Closed	Yes	No	No	Street	Yes	Yes	Yes	No	Yes
5	Liholiho Yacht Club	871 Sutter St,San Francisco,CA,94109	Bars,American (New),Seafood	$31-60	4.5	2408	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	Closed	No	No	Yes	Garage, Street	NULL	Yes	No	Yes	No
6	Fog Harbor Fish House	Pier 39,Ste A-202,San Francisco,CA,94133	Seafood,Bars	$11-30	4.0	6049	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 9:00 pm	No	Free	Yes	Garage, Validated	NULL	Yes	Yes	Yes	Yes
7	Don Pistos	510 Union St,San Francisco,CA,94133	Mexican,Seafood	$11-30	4.0	1794	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 11:00 pm	10:00 am - 3:00 pm,4:00 pm - 11:00 pm	10:00 am - 3:00 pm,4:00 pm - 10:00 pm	Yes	No	Yes	Street	Yes	Yes	No	No	Yes
8	Suppenküche	525 Laguna St,San Francisco,CA,94102	German	$11-30	4.0	3127	5:00 pm - 9:00 pm	5:00 pm - 9:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	11:30 am - 2:30 pm,5:00 pm - 10:00 pm	10:00 am - 2:30 pm,5:00 pm - 9:00 pm	No	No	No	Street	NULL	Yes	No	No	Yes
9	Tselogs	552 Jones St,San Francisco,CA,94102	Filipino	Under $10	4.5	632	Closed	5:00 pm - 12:00 am	5:00 pm - 12:00 am	5:00 pm - 12:00 am	6:00 pm - 3:00 am	6:00 pm - 3:00 am	Closed	No	No	No	Street	NULL	Yes	Yes	Yes	Yes
10	Limón Rotisserie	1001 S Van Ness Ave,San Francisco,CA,94110	Peruvian,Tapas/Small Plates	$11-30	4.0	3193	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:30 pm	11:30 am - 10:30 pm	11:30 am - 10:00 pm	No	No	Yes	Street	Yes	Yes	No	No	Yes
11	Marugame Udon	3251 20th Ave,Space 184,San Francisco,CA,94132	Japanese,Noodles	$11-30	4.0	1685	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	No	No	No	Garage, Private Lot	NULL	Yes	No	No	Yes
12	The Codmother Fish & Chips	496 Beach St,San Francisco,CA,94133	British,Fish & Chips,Seafood	$11-30	4.5	2970	11:00 am - 5:00 pm	11:00 am - 5:00 pm	Closed	11:00 am - 5:00 pm	11:00 am - 5:00 pm	11:30 am - 6:00 pm	11:30 am - 6:00 pm	No	No	No	Street	Yes	Yes	No	No	Yes
13	Daeho Kalbijjim & Beef Soup	1620 Post St,San Francisco,CA,94115	Korean,Soup,Noodles	$11-30	4.5	750	11:00 am - 2:30 pm,5:00 pm - 10:00 pm	11:00 am - 2:30 pm,5:00 pm - 10:00 pm	11:00 am - 2:30 pm,5:00 pm - 10:00 pm	11:00 am - 2:30 pm,5:00 pm - 10:00 pm	11:00 am - 2:30 pm,5:00 pm - 10:00 pm	11:00 am - 2:30 pm,5:00 pm - 10:00 pm	11:00 am - 2:30 pm,5:00 pm - 10:00 pm	No	No	No	Street	Yes	Yes	No	No	Yes
14	Tuba Authentic Turkish Restaurant	1007 Guerrero St,San Francisco,CA,94110	Mediterranean,Turkish	$11-30	4.5	1026	5:00 pm - 9:30 pm	5:00 pm - 9:30 pm	5:00 pm - 9:30 pm	5:00 pm - 9:30 pm	5:00 pm - 10:30 pm	5:00 pm - 10:30 pm	5:00 pm - 9:30 pm	Yes	Free	Yes	Street	Yes	Yes	No	No	Yes
15	Beretta	1199 Valencia St,San Francisco,CA,94110	Italian,Pizza,Breakfast & Brunch	$11-30	4.0	3618	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 10:00 pm	5:30 pm - 11:00 pm	5:30 pm - 12:00 am	11:00 am - 12:00 am	11:00 am - 10:00 pm	No	Free	Yes	Street	Yes	Yes	No	No	Yes
16	Zazie	941 Cole St,San Francisco,CA,94117	Breakfast & Brunch,French	$11-30	4.0	4387	8:00 am - 2:00 pm,5:00 pm - 9:30 pm	8:00 am - 2:00 pm,5:00 pm - 9:30 pm	8:00 am - 2:00 pm,5:00 pm - 9:30 pm	8:00 am - 2:00 pm,5:00 pm - 9:30 pm	8:00 am - 2:00 pm,5:00 pm - 10:00 pm	9:00 am - 3:00 pm,5:00 pm - 10:00 pm	9:00 am - 3:00 pm,5:00 pm - 9:30 pm	No	No	Yes	Street, Private Lot	NULL	Yes	No	No	Yes
17	Emmy's Spaghetti Shack	3230 Mission St,San Francisco,CA,94110	Italian	$11-30	4.0	550	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 11:00 pm	5:00 pm - 11:00 pm	5:00 pm - 10:00 pm	Yes	Free	Yes	Garage, Street	NULL	Yes	No	No	Yes
18	Kitchen Story	3499 16th St,San Francisco,CA,94114	Breakfast & Brunch,Asian Fusion,American (New)	$11-30	4.0	3332	8:00 am - 2:30 pm,5:00 pm - 9:30 pm	8:00 am - 2:30 pm,5:00 pm - 9:30 pm	8:00 am - 2:30 pm,5:00 pm - 9:30 pm	8:00 am - 2:30 pm,5:00 pm - 9:30 pm	8:00 am - 2:30 pm,5:00 pm - 10:00 pm	8:00 am - 3:00 pm,5:00 pm - 10:00 pm	8:00 am - 3:00 pm,5:00 pm - 9:30 pm	Yes	Free	Yes	Street	Yes	Yes	No	Yes	Yes
19	K POP	420 Judah St,San Francisco,CA,94122			4.5	23	2:00 pm - 12:00 am	2:00 pm - 12:00 am	2:00 pm - 12:00 am	2:00 pm - 12:00 am	2:00 pm - 2:00 am	3:00 pm - 2:00 am	3:00 pm - 10:00 pm	No	No	Yes	NULL	NULL	Yes	NULL	NULL	Yes
20	Rusty's Southern	750 Ellis St,San Francisco,CA,94109	Southern,Comfort Food,Breakfast & Brunch	$11-30	4.5	1017	Closed	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	10:00 am - 2:00 pm,5:00 pm - 10:00 pm	10:00 am - 2:00 pm,5:00 pm - 10:00 pm	10:00 am - 2:00 pm,5:00 pm - 10:00 pm	10:00 am - 2:00 pm	Yes	Free	Yes	Street	Yes	Yes	No	No	Yes
21	Palm House	2032 Union St,San Francisco,CA,94123	Caribbean,Hawaiian,Venues & Event Spaces	$11-30	4.0	862	Closed	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 12:00 am	11:30 am - 2:00 am	10:30 am - 2:00 am	10:30 am - 10:00 pm	Yes	Free	Yes	Garage, Street	Yes	Yes	No	Yes	Yes
22	Tacorea	809 Bush St,San Francisco,CA,94108	Mexican,Korean,Latin American	$11-30	4.5	1672	11:30 am - 3:00 pm,6:00 pm - 9:00 pm	11:30 am - 3:00 pm,6:00 pm - 9:00 pm	11:30 am - 3:00 pm,6:00 pm - 9:00 pm	11:30 am - 3:00 pm,6:00 pm - 8:30 pm	11:30 am - 3:00 pm,6:00 pm - 8:30 pm	11:30 am - 3:00 pm,6:00 pm - 8:30 pm	Closed	No	Free	No	Street	NULL	Yes	Yes	Yes	Yes
23	Souvla	517 Hayes St,San Francisco,CA,94102	Greek,Mediterranean	$11-30	4.0	1362	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	Yes	Free	No	Street	Yes	Yes	Yes	Yes	Yes
24	Taco Boys	2312 Market St,San Francisco,CA,94114			5.0	5	11:00 am - 12:00 am	11:00 am - 12:00 am	11:00 am - 12:00 am	11:00 am - 12:00 am	11:00 am - 12:00 am	11:00 am - 12:00 am	11:00 am - 12:00 am	NULL	Free	NULL	Street	Yes	Yes	Yes	NULL	Yes
25	Manna	845 Irving St,San Francisco,CA,94122	Korean	$11-30	4.0	1065	Closed	11:00 am - 9:30 pm	11:00 am - 9:30 pm	11:00 am - 9:30 pm	11:00 am - 9:30 pm	11:00 am - 9:30 pm	11:00 am - 9:30 pm	No	No	No	Street	Yes	Yes	No	No	Yes
26	Marlowe	500 Brannan St,San Francisco,CA,94107	American (New),Brasseries	$11-30	4.0	2720	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 11:00 pm	11:30 am - 11:00 pm	10:00 am - 11:00 pm	10:00 am - 10:00 pm	No	No	Yes	Garage, Street	NULL	Yes	No	No	Yes
27	Woodhouse Fish Company	1914 Fillmore St,San Francisco,CA,94115	Seafood,American (New)	$11-30	4.0	2237	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:30 pm	11:30 am - 10:30 pm	11:30 am - 10:00 pm	No	No	No	Garage, Street, Private Lot	NULL	Yes	No	NULL	Yes
28	Cafe De Casa	3985 17th St,San Francisco,CA,94114			5.0	17								No	Free	NULL	NULL	NULL	Yes	NULL	NULL	Yes
29	Anchor Oyster Bar	579 Castro St,San Francisco,CA,94114	Seafood	$11-30	4.5	1514	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	4:00 pm - 9:30 pm	No	No	No	Street	NULL	Yes	No	No	Yes
30	Nopa	560 Divisadero St,San Francisco,CA,94117	American (New),Desserts,Cocktail Bars	$31-60	4.0	5064	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 10:00 pm	No	No	Yes	Street	Yes	Yes	No	No	No
31	Z & Y Restaurant	655 Jackson St,San Francisco,CA,94133	Chinese,Seafood,Soup	$11-30	3.5	1713	11:00 am - 9:30 pm	11:00 am - 9:30 pm	11:00 am - 9:30 pm	11:00 am - 9:30 pm	11:00 am - 9:30 pm	11:00 am - 9:30 pm	11:00 am - 9:30 pm	No	Free	Yes	Garage, Street	NULL	Yes	No	No	Yes
32	Nopalito	306 Broderick St,San Francisco,CA,94117	Mexican	$11-30	4.0	1868	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	No	No	No	Garage, Street	Yes	Yes	No	No	Yes
33	Serpentine	2495 3rd St,San Francisco,CA,94107	American (New),Breakfast & Brunch,Cocktail Bars	$11-30	4.0	1523	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	5:00 pm - 11:00 pm	10:00 am - 2:30 pm,5:00 pm - 11:00 pm	10:00 am - 2:30 pm	No	No	Yes	Street	NULL	Yes	No	No	Yes
34	Dragon Beaux	5700 Geary Blvd,San Francisco,CA,94121	Dim Sum,Hot Pot	$11-30	4.0	1587	11:00 am - 2:30 pm,5:30 pm - 9:45 pm	11:00 am - 2:30 pm,5:30 pm - 9:45 pm	11:00 am - 2:30 pm,5:30 pm - 9:45 pm	11:00 am - 2:30 pm,5:30 pm - 9:45 pm	11:00 am - 2:30 pm,5:30 pm - 9:45 pm	10:00 am - 2:30 pm,5:30 pm - 9:45 pm	10:00 am - 2:30 pm,5:30 pm - 9:45 pm	Yes	No	Yes	Street	NULL	Yes	No	No	Yes
