	Name	Address	Category	Price	Rating	Reviews	Mon	Tue	Wed	Thu	Fri	Sat	Sun	Delivery	Wi_Fi	Takes_Reservations	Parking	Vegetarian_Options	Accepts_Credit_Cards	Accepts_Apple_Pay	Accepts_Google_Pay	Take_out
0	Firehouse No.1 Gastropub	69 N San Pedro St,San Jose,CA,95110	American (Traditional),Pubs,Gastropubs	$11-30	4.0	1588	11:30 am - 12:30 am	11:30 am - 12:30 am	11:30 am - 12:30 am	11:30 am - 12:30 am	11:30 am - 12:30 am	4:30 pm - 12:30 am	11:30 am - 12:30 am	No	Free	Yes	Garage, Street, Validated	NULL	Yes	No	No	Yes
1	Élyse Restaurant	151 S 2nd St,San Jose,CA,95113	French,Vietnamese,Cocktail Bars	$11-30	4.5	285	5:00 pm - 9:00 pm	5:00 pm - 9:00 pm	5:00 pm - 9:00 pm	5:00 pm - 9:00 pm	5:00 pm - 10:00 pm	5:00 pm - 10:00 pm	Closed	No	No	Yes	NULL	Yes	Yes	No	No	Yes
2	Hapa Musubi	200 S 1st St,Unit 50,San Jose,CA,95112	Hawaiian,Japanese	Under $10	4.5	98	11:00 am - 4:30 pm	11:00 am - 4:30 pm	11:00 am - 4:30 pm	11:00 am - 4:30 pm	11:00 am - 4:30 pm	11:30 am - 5:00 pm	Closed	No	NULL	No	Garage, Street, Validated	NULL	Yes	Yes	NULL	Yes
3	A Slice of New York	3443 Stevens Creek Blvd,San Jose,CA,95117	Pizza	Under $10	4.5	2744	Closed	11:00 am - 12:00 am	11:00 am - 12:00 am	11:00 am - 12:00 am	11:00 am - 12:00 am	11:00 am - 12:00 am	12:30 pm - 12:00 am	No	Free	No	Street, Private Lot	NULL	Yes	No	No	Yes
4	Myungrang Hot Dog - San Jose	1710 Oakland Rd,San Jose,CA,95131	Hot Dogs	Under $10	4.0	296	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	Yes	No	No	Private Lot	Yes	Yes	Yes	Yes	Yes
5	Siena Bistro	1359 Lincoln Ave,San Jose,CA,95125	Mediterranean,Italian	$11-30	4.0	507	Closed	11:30 am - 2:30 pm,5:00 pm - 9:00 pm	11:30 am - 2:30 pm,5:00 pm - 9:00 pm	11:30 am - 2:30 pm,5:00 pm - 9:00 pm	11:30 am - 2:30 pm,5:00 pm - 10:00 pm	11:30 am - 2:30 pm,5:00 pm - 10:00 pm	Closed	No	No	Yes	Street, Private Lot	NULL	Yes	No	NULL	Yes
6	Famous Dumpling House	4996 Stevens Creek Blvd,San Jose,CA,95129	Dim Sum,Noodles	$11-30	4.0	235	11:00 am - 2:30 pm,5:00 pm - 9:00 pm	Closed	11:00 am - 2:30 pm,5:00 pm - 9:00 pm	11:00 am - 2:30 pm,5:00 pm - 9:00 pm	11:00 am - 2:30 pm,5:00 pm - 9:30 pm	11:00 am - 2:30 pm,5:00 pm - 9:30 pm	11:00 am - 2:30 pm,5:00 pm - 9:00 pm	No	No	Yes	Private Lot	NULL	Yes	No	NULL	Yes
7	Zona Rosa	1411 The Alameda,San Jose,CA,95126	Mexican	$11-30	4.0	1051	Closed	11:30 am - 9:30 pm	11:30 am - 9:30 pm	11:30 am - 9:30 pm	11:30 am - 10:00 pm	10:30 am - 10:00 pm	10:30 am - 9:30 pm	No	No	Yes	Street	Yes	Yes	No	No	Yes
8	Smoking Pig BBQ	1144 N 4th St,San Jose,CA,95112	Barbeque,Southern,American (Traditional)	$11-30	4.0	2968	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 9:00 pm	Yes	No	No	Private Lot	NULL	Yes	No	No	Yes
9	Gombei Japanese Restaurant	193 Jackson St,San Jose,CA,95112	Japanese	$11-30	4.0	1083	11:30 am - 2:00 pm,5:00 pm - 9:00 pm	11:30 am - 2:00 pm,5:00 pm - 9:00 pm	11:30 am - 2:00 pm,5:00 pm - 9:00 pm	11:30 am - 2:00 pm,5:00 pm - 9:00 pm	11:30 am - 2:00 pm,5:00 pm - 9:30 pm	11:30 am - 2:00 pm,5:00 pm - 9:30 pm	Closed	No	No	No	Street	NULL	No	No	No	Yes
