	Name	Address	Category	Price	Rating	Reviews	Mon	Tue	Wed	Thu	Fri	Sat	Sun	Delivery	Wi_Fi	Takes_Reservations	Parking	Vegetarian_Options	Accepts_Credit_Cards	Accepts_Apple_Pay	Accepts_Google_Pay	Take_out
0	Benchmark	601 E Santa Ana Blvd,Santa Ana,CA,92701	American (New)	$11-30	4.5	403	Closed	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 10:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 10:00 pm	No	Free	Yes	Street, Private Lot	Yes	Yes	NULL	NULL	Yes
1	Navarros Taqueria	1535 S Standard Ave,Santa Ana,CA,92707	Tacos	Under $10	4.5	126	10:00 am - 9:00 pm	10:00 am - 9:00 pm	10:00 am - 9:00 pm	10:00 am - 9:00 pm	10:00 am - 9:00 pm	9:00 am - 10:00 pm	9:00 am - 10:00 pm	No	No	No	Private Lot	NULL	Yes	NULL	NULL	Yes
2	I Can Barbecue Santa Ana Korean Grill	414 W 4th St,Santa Ana,CA,92701	Korean,Barbeque	$11-30	4.5	172	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 12:00 am	11:00 am - 12:00 am	11:00 am - 11:00 pm	No	Free	Yes	Street	NULL	Yes	Yes	NULL	No
3	Wang Cho Korean BBQ	3608 S Bristol St,Santa Ana,CA,92704	Bars,Korean,Barbeque	$11-30	4.0	333	11:30 am - 11:00 pm	11:30 am - 11:00 pm	11:30 am - 11:00 pm	11:30 am - 11:00 pm	11:30 am - 12:00 am	11:30 am - 12:00 am	11:30 am - 11:00 pm	No	No	Yes	Private Lot	NULL	Yes	No	No	No
4	Santa Buffet & Grill	2321 S Bristol St,Santa Ana,CA,92704	Buffets	$11-30	3.5	322	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	11:00 am - 9:00 pm	No	No	No	Private Lot	NULL	Yes	No	No	Yes
5	Congregation Ale House Chapters - Santa Ana	201 N Broadway,Santa Ana,CA,92701	American (New),Gastropubs,Breweries	$11-30	4.5	109	11:30 am - 7:00 pm	11:30 am - 7:00 pm	11:30 am - 10:00 pm	11:30 am - 11:00 pm	11:30 am - 1:00 am	11:30 am - 1:00 am	11:30 am - 10:00 pm	Yes	Free	Yes	Garage, Street	NULL	Yes	No	No	Yes
6	Eat Chow	313 N Bush St,Santa Ana,CA,92701	Bars,American (New),Breakfast & Brunch	$11-30	4.0	532	Closed	9:00 am - 8:00 pm	9:00 am - 8:00 pm	9:00 am - 8:00 pm	9:00 am - 10:00 pm	8:00 am - 10:00 pm	8:00 am - 8:00 pm	No	No	No	Street	NULL	Yes	No	NULL	Yes
7	Shabu Shabu Bar	1945 E 17th St,Ste 108,Santa Ana,CA,92705	Japanese,Hot Pot	$11-30	4.0	1908	11:30 am - 2:00 pm,5:00 pm - 9:30 pm	11:30 am - 2:00 pm,5:00 pm - 9:30 pm	11:30 am - 2:00 pm,5:00 pm - 9:30 pm	11:30 am - 2:00 pm,5:00 pm - 9:30 pm	11:30 am - 2:00 pm,5:00 pm - 9:30 pm	11:30 am - 2:00 pm,5:00 pm - 9:30 pm	11:30 am - 2:00 pm,5:00 pm - 9:30 pm	No	Free	No	Private Lot	Yes	Yes	No	No	No
8	Wings and Bowls	515 N Main St,Ste C,Santa Ana,CA,92701	Korean,Asian Fusion,Chicken Shop	$11-30	4.5	82	11:30 am - 9:30 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 10:00 pm	11:30 am - 1:00 am	11:30 am - 1:00 am	11:30 am - 9:00 pm	No	Free	No	Garage, Street	NULL	Yes	Yes	NULL	Yes
9	Perla	400 W 4th St,Santa Ana,CA,92701	Bars,Mexican	$11-30	5.0	67	Closed	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 11:00 pm	11:00 am - 12:00 am	11:00 am - 12:00 am	10:00 am - 4:00 pm	NULL	NULL	Yes	Garage, Street	NULL	Yes	Yes	NULL	Yes
